,provided_split,passage,question,response,label,passage_id,question_id,answer_id,answer,gpt5_score,misspelled,paraphrased,capitalization_change,punctuation_change,date_reformatted,numeric_words
train,train,"I'm here to tell you the story of a robot named Carl. He came from a far away land known as Factory. Carl was sad because he was missing a part called a tire. He also needed a sun gatherer. But, the tire was more important. Once Carl got all these parts he could travel to his new home in the nation of Lab and the city of Office. It was a tricky thing to get there with missing parts. Just as he had given up hope Carl got a message from Mr. X saying the new parts were ready to be delivered. This made the robot very happy. The parts arrived a few days later and Carl put them in with 2 days of work. After this Carl began to travel the last bit of his goal to get to his new job. After this Carl took 10 days to get to Lab. ",Which was the most important missing part that Carl has to get after getting out of the factory?,A tire.,1,2,32,201,The tire.,4,0,1,0,0,0,0
train,train,"I'm here to tell you the story of a robot named Carl. He came from a far away land known as Factory. Carl was sad because he was missing a part called a tire. He also needed a sun gatherer. But, the tire was more important. Once Carl got all these parts he could travel to his new home in the nation of Lab and the city of Office. It was a tricky thing to get there with missing parts. Just as he had given up hope Carl got a message from Mr. X saying the new parts were ready to be delivered. This made the robot very happy. The parts arrived a few days later and Carl put them in with 2 days of work. After this Carl began to travel the last bit of his goal to get to his new job. After this Carl took 10 days to get to Lab. ",Which parts is Carl the robot missing?,Tire and sun gatherer.,1,2,33,203,He was missing a tire and a sun gatherer.,4,0,1,0,0,0,0
train,train,"I'm here to tell you the story of a robot named Carl. He came from a far away land known as Factory. Carl was sad because he was missing a part called a tire. He also needed a sun gatherer. But, the tire was more important. Once Carl got all these parts he could travel to his new home in the nation of Lab and the city of Office. It was a tricky thing to get there with missing parts. Just as he had given up hope Carl got a message from Mr. X saying the new parts were ready to be delivered. This made the robot very happy. The parts arrived a few days later and Carl put them in with 2 days of work. After this Carl began to travel the last bit of his goal to get to his new job. After this Carl took 10 days to get to Lab. ",Which parts is Carl the robot missing?,Tire and sun gatherer.,1,2,33,204,He was missing a tire and a sun gatherer.,4,0,1,0,0,0,0
train,train,"Alexander II's death caused a great setback for the reform movement. One of his last ideas was to draft plans for an elected parliament, or Duma, which were completed the day before he died but not yet released to the Russian people. In a matter of 48 hours, Alexander II planned to release his plan for the duma to the Russian people. Had he lived, Russia might have followed a path to constitutional monarchy instead of the long road of oppression that defined his successor's reign. The first action Alexander III took after his father's death was to tear up those plans. A Duma would not come into fruition until 1905, when Alexander II's grandson, Nicholas II, commissioned the Duma following extreme pressure on the monarchy as a result of the Russian Revolution of 1905. The assassination triggered major suppression of civil liberties in Russia, and police brutality burst back in full force after experiencing some restraint under the reign of Alexander II, whose death was witnessed first-hand by his son, Alexander III, and his grandson, Nicholas II, both future emperors who vowed not to have the same fate befall them. Both of them used the Okhrana to arrest protestors and uproot suspected rebel groups, creating further suppression of personal freedom for the Russian people. A series of anti-Jewish pogroms and antisemitic legislation, the May Laws, were yet another result. Finally, the tsar's assassination also inspired anarchists to advocate ""'propaganda by deed'--the use of a spectacular act of violence to incite revolution."" With construction starting in 1883, the Church of the Savior on Blood was built on the site of Alexander's assassination and dedicated in his memory. ",How many years passed between the fruition of the Duma and the beginning of the construction of the Church of the Savior on Blood?,22 years passed.,1,4,42,257,22 years (1905 − 1883 = 22),4,0,1,0,0,0,0
train,train,"Alexander II's death caused a great setback for the reform movement. One of his last ideas was to draft plans for an elected parliament, or Duma, which were completed the day before he died but not yet released to the Russian people. In a matter of 48 hours, Alexander II planned to release his plan for the duma to the Russian people. Had he lived, Russia might have followed a path to constitutional monarchy instead of the long road of oppression that defined his successor's reign. The first action Alexander III took after his father's death was to tear up those plans. A Duma would not come into fruition until 1905, when Alexander II's grandson, Nicholas II, commissioned the Duma following extreme pressure on the monarchy as a result of the Russian Revolution of 1905. The assassination triggered major suppression of civil liberties in Russia, and police brutality burst back in full force after experiencing some restraint under the reign of Alexander II, whose death was witnessed first-hand by his son, Alexander III, and his grandson, Nicholas II, both future emperors who vowed not to have the same fate befall them. Both of them used the Okhrana to arrest protestors and uproot suspected rebel groups, creating further suppression of personal freedom for the Russian people. A series of anti-Jewish pogroms and antisemitic legislation, the May Laws, were yet another result. Finally, the tsar's assassination also inspired anarchists to advocate ""'propaganda by deed'--the use of a spectacular act of violence to incite revolution."" With construction starting in 1883, the Church of the Savior on Blood was built on the site of Alexander's assassination and dedicated in his memory. ",How many years passed between the fruition of the Duma and the beginning of the construction of the Church of the Savior on Blood?,22 years from 1883 to 1905.,1,4,42,260,22 years (1905 − 1883 = 22),4,0,1,0,0,0,0
train,train,"Alexander II's death caused a great setback for the reform movement. One of his last ideas was to draft plans for an elected parliament, or Duma, which were completed the day before he died but not yet released to the Russian people. In a matter of 48 hours, Alexander II planned to release his plan for the duma to the Russian people. Had he lived, Russia might have followed a path to constitutional monarchy instead of the long road of oppression that defined his successor's reign. The first action Alexander III took after his father's death was to tear up those plans. A Duma would not come into fruition until 1905, when Alexander II's grandson, Nicholas II, commissioned the Duma following extreme pressure on the monarchy as a result of the Russian Revolution of 1905. The assassination triggered major suppression of civil liberties in Russia, and police brutality burst back in full force after experiencing some restraint under the reign of Alexander II, whose death was witnessed first-hand by his son, Alexander III, and his grandson, Nicholas II, both future emperors who vowed not to have the same fate befall them. Both of them used the Okhrana to arrest protestors and uproot suspected rebel groups, creating further suppression of personal freedom for the Russian people. A series of anti-Jewish pogroms and antisemitic legislation, the May Laws, were yet another result. Finally, the tsar's assassination also inspired anarchists to advocate ""'propaganda by deed'--the use of a spectacular act of violence to incite revolution."" With construction starting in 1883, the Church of the Savior on Blood was built on the site of Alexander's assassination and dedicated in his memory. ",What event prevented Alexander II's plans for a Duma to come to fruition?,Alexander II's death stopped the Duma plans.,1,4,44,265,Alexander II's assassination (his death) prevented his plans for a Duma from coming to fruition.,4,0,1,0,0,0,0
train,train,"A stranger in town meets pretty young Susan Martinez De La Cruz and accompanies her to a barbecue , where wealthy Jason Carberry is saying a few words for the recently departed Robin Randall , a citizen who got shot .  Jason objects to the stranger's presence , being Susan's guardian and protective of her .  He challenges him to a shootout , but the stranger pulls his pistol before Jason's can even clear the holster .  Calaveras Kate , a saloon singer who's in love with Jason , is relieved when the stranger declines to pull the trigger .  Rafael Moreno suddenly rides into town and picks a fight with the stranger .  Their brawl continues until the arrival of Judge Wallace Wintrop and his niece , Sheila , who have come to town from back East and deplore all this random violence out West .  The stranger is recognized as Reb Randall , the dead man's brother .  He is looking for the killer , who could be Rafael , or could be Jason , or could even be Billy Buckett , the coward of the county .  The women hold their breath to see if the men they love will survive . ",When Jason challenges the stranger who is relieved at the end and for what reason?,Calaveras Kate is relieved because the stranger drew first but didn't shoot.,1,6,51,313,"Calaveras Kate is relieved because the stranger refuses to pull the trigger, so Jason (whom she loves) is not shot.",4,0,1,0,0,0,0
train,train,"A stranger in town meets pretty young Susan Martinez De La Cruz and accompanies her to a barbecue , where wealthy Jason Carberry is saying a few words for the recently departed Robin Randall , a citizen who got shot .  Jason objects to the stranger's presence , being Susan's guardian and protective of her .  He challenges him to a shootout , but the stranger pulls his pistol before Jason's can even clear the holster .  Calaveras Kate , a saloon singer who's in love with Jason , is relieved when the stranger declines to pull the trigger .  Rafael Moreno suddenly rides into town and picks a fight with the stranger .  Their brawl continues until the arrival of Judge Wallace Wintrop and his niece , Sheila , who have come to town from back East and deplore all this random violence out West .  The stranger is recognized as Reb Randall , the dead man's brother .  He is looking for the killer , who could be Rafael , or could be Jason , or could even be Billy Buckett , the coward of the county .  The women hold their breath to see if the men they love will survive . ",Who are the people suspected to have killed Robin Randall?,"The suspects are Rafael Moreno, Jason Carberry, and Billy Buckett.",1,6,58,348,"Rafael Moreno, Jason Carberry, or Billy Buckett.",4,0,1,0,0,0,0
train,train,"A stranger in town meets pretty young Susan Martinez De La Cruz and accompanies her to a barbecue , where wealthy Jason Carberry is saying a few words for the recently departed Robin Randall , a citizen who got shot .  Jason objects to the stranger's presence , being Susan's guardian and protective of her .  He challenges him to a shootout , but the stranger pulls his pistol before Jason's can even clear the holster .  Calaveras Kate , a saloon singer who's in love with Jason , is relieved when the stranger declines to pull the trigger .  Rafael Moreno suddenly rides into town and picks a fight with the stranger .  Their brawl continues until the arrival of Judge Wallace Wintrop and his niece , Sheila , who have come to town from back East and deplore all this random violence out West .  The stranger is recognized as Reb Randall , the dead man's brother .  He is looking for the killer , who could be Rafael , or could be Jason , or could even be Billy Buckett , the coward of the county .  The women hold their breath to see if the men they love will survive . ",Why are the women worried?,"The stranger thinks one of their men killed his brother, and they're anxious about who will survive.",1,6,60,367,"Because there is violent conflict and a possible shootout—Reb Randall is hunting his brother’s killer, and the men the women love (Jason, Rafael, or Billy) may be involved and could be killed.",4,0,1,0,0,0,0
train,train,"A stranger in town meets pretty young Susan Martinez De La Cruz and accompanies her to a barbecue , where wealthy Jason Carberry is saying a few words for the recently departed Robin Randall , a citizen who got shot .  Jason objects to the stranger's presence , being Susan's guardian and protective of her .  He challenges him to a shootout , but the stranger pulls his pistol before Jason's can even clear the holster .  Calaveras Kate , a saloon singer who's in love with Jason , is relieved when the stranger declines to pull the trigger .  Rafael Moreno suddenly rides into town and picks a fight with the stranger .  Their brawl continues until the arrival of Judge Wallace Wintrop and his niece , Sheila , who have come to town from back East and deplore all this random violence out West .  The stranger is recognized as Reb Randall , the dead man's brother .  He is looking for the killer , who could be Rafael , or could be Jason , or could even be Billy Buckett , the coward of the county .  The women hold their breath to see if the men they love will survive . ",Who was Robin Randall's brother?,"Reb Randall, the stranger in town.",1,6,68,405,Reb Randall,4,0,1,0,0,0,0
